date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5,volatility21
2023-12-18,42657.8,46734.0925,48,65.0,7,0.030541766708551847,2214.8799999999974,717.5,19011.97798,0.023023071617458125,0.02519553824493364
2023-12-19,42275.99,40927.86444,50,73.0,7,-0.008990828549252048,1685.9000000000015,-2.040000000000873,-5806.228060000001,0.023086754945134107,0.025515908025299953
2023-12-20,43668.93,48710.2947,58,74.0,7,0.03241755264462973,2077.0,2294.279999999999,7782.430260000001,0.023817632913850185,0.02475738338373633
2023-12-21,43861.8,34624.29384,56,70.0,7,0.004406916568444891,955.6299999999974,1204.0,-14086.00086,0.023874569095183235,0.024848971974724826
2023-12-22,43969.04,32783.19638,56,74.0,7,0.0024419680670525194,985.7200000000012,1693.050000000003,-1841.0974599999972,0.018372300630043095,0.030682304133994975
2023-12-23,43702.16,16557.1293,47,70.0,7,-0.006088221088727501,697.5800000000017,33.2300000000032,-16226.06708,0.016410189905864014,0.030667900605071907
2023-12-24,42991.5,25144.33496,42,71.0,7,-0.016395107062850675,1446.0,-870.3000000000029,8587.20566,0.018205859375298113,0.03099523812225263
2023-12-25,43576.13,27021.23992,43,73.0,7,0.013507101635684676,1081.8899999999994,-392.9100000000035,1876.9049599999998,0.011322397838033632,0.031133907381850356
2023-12-26,42508.93,41010.04282,54,71.0,7,-0.02479535186467053,1955.0800000000017,-1193.2300000000032,13988.802900000002,0.01510605467915381,0.030825917796413922
2023-12-27,43428.85,36191.21136,54,73.0,7,0.02140979529821103,1578.3099999999977,437.34999999999854,-4818.831460000001,0.01956357481924893,0.030509567785358516
2023-12-28,42563.76,35150.52485,53,73.0,7,-0.02012077980823538,1545.7799999999988,-1012.3699999999953,-1040.6865099999995,0.02115386290529466,0.03111934988058654
2023-12-29,42066.95,42597.18912,50,65.0,7,-0.011740790238734814,1811.0,-441.9800000000032,7446.664270000001,0.020638536780230674,0.031089485255164143
2023-12-30,42140.28,22906.57818,41,68.0,7,0.0017416561151908701,1092.0199999999968,-1288.5699999999997,-19690.610940000002,0.018670771272817892,0.03108701509949297
2023-12-31,42283.58,23585.91603,37,67.0,3,0.0033947781497301243,933.1600000000035,-280.1800000000003,679.3378499999999,0.015890080129206705,0.031077485325792877
2024-01-01,44179.55,27174.29903,22,65.0,3,0.04386318131378095,2003.3300000000017,2112.600000000006,3588.382999999998,0.024609378162943528,0.031054514538122788
2024-01-02,44946.91,65146.40661,38,71.0,7,0.01722000317113513,1731.2900000000009,2806.6300000000047,37972.107579999996,0.021091009181228058,0.030791587242326546
2024-01-03,42845.23,81194.55173,38,70.0,7,-0.04788769521256018,4750.0,561.6500000000015,16048.145120000008,0.03339567538448944,0.029288363222029327
2024-01-04,44151.1,48038.06334,32,68.0,3,0.03002352150755492,2115.810000000005,-28.450000000004366,-33156.488390000006,0.03532741794865462,0.028286089634300817
2024-01-05,44145.11,48075.25327,31,72.0,3,-0.0001356796630157846,1907.4599999999991,-801.8000000000029,37.18993000000046,0.03551032985488373,0.030341002691977988
2024-01-06,43968.32,17835.06144,25,70.0,3,-0.004012787545087865,817.3699999999953,1123.0899999999965,-30240.19183,0.029591800820697872,0.03041114019740488
2024-01-07,43929.02,23023.8508,23,71.0,3,-0.000894225072540774,908.5,-222.08000000000175,5188.789359999999,0.027868525283741386,0.030409998915533473
2024-01-08,46951.04,72814.57589,42,71.0,7,0.06653020711240704,4073.989999999998,2805.9300000000003,49790.72508999999,0.030289217797297853,0.02714664084769196
2024-01-09,46110.0,69927.66617,48,76.0,7,-0.018075510415030107,3223.3300000000017,2141.6800000000003,-2886.909719999996,0.033139827326878625,0.02697459415371359
2024-01-10,46653.99,89911.41203,77,73.0,7,0.01172860796383382,3395.5699999999997,2724.970000000001,19983.74586000001,0.03277331685189142,0.02676766097016152
2024-01-11,46339.16,87470.3296,80,76.0,7,-0.006771062230729273,3363.4200000000055,-611.8799999999974,-2441.0824300000095,0.033111822936543224,0.026987940791286677
2024-01-12,42782.73,86327.93707,48,71.0,7,-0.0798528754667809,5015.529999999999,-3327.269999999997,-1142.3925299999974,0.052851349010518536,0.020550140324130075
2024-01-13,42847.99,36118.47464,34,64.0,3,0.0015242196406752171,820.8799999999974,-3806.0,-50209.46243,0.03611246215167234,0.020575285066043808
